time,chlora,obs,lon,lat,depth
2021-03-10 00:13:30.506425856,0.0,3276582,-125.3896636,44.52894899,189.61807572615288
2021-03-10 00:14:15.616434688,0.0,3276622,-125.3896636,44.52894899,189.65172702796843
2021-03-10 00:14:16.744644608,0.0,3276623,-125.3896636,44.52894899,189.65772828370035
2021-03-10 00:14:47.202391552,0.0,3276650,-125.3896636,44.52894899,189.6555388002208
2021-03-10 00:14:50.586170880,0.0,3276653,-125.3896636,44.52894899,189.65285071213586
2021-03-10 00:14:55.097834496,0.0,3276657,-125.3896636,44.52894899,189.69664165066055
2021-03-10 00:15:43.602882560,0.0,3276700,-125.3896636,44.52894899,189.65671940290457
2021-03-10 00:15:49.243906048,0.0,3276705,-125.3896636,44.52894899,189.68209175068276
2021-03-10 00:16:16.315358720,0.0,3276729,-125.3896636,44.52894899,189.75149721954196
2021-03-10 00:17:00.305537024,0.0107,3276768,-125.3896636,44.52894899,189.69891441261922
2021-03-10 00:17:08.200834560,0.0,3276775,-125.3896636,44.52894899,189.7513089767935
2021-03-10 00:17:13.841107456,0.0,3276780,-125.3896636,44.52894899,189.76734522974098
2021-03-10 00:17:23.994214400,0.0,3276789,-125.3896636,44.52894899,189.7209328611917
2021-03-10 00:18:28.288221184,0.0214,3276846,-125.3896636,44.52894899,189.81804667505858
2021-03-10 00:18:32.800323072,0.0,3276850,-125.3896636,44.52894899,189.78298673788512
2021-03-10 00:18:35.056708096,0.0,3276852,-125.3896636,44.52894899,189.75677514067635
2021-03-10 00:18:49.722845696,0.0535,3276865,-125.3896636,44.52894899,189.81419424078868
2021-03-10 00:19:15.665125888,0.0107,3276888,-125.3896636,44.52894899,189.77387689848516
2021-03-10 00:19:20.177138176,0.0,3276892,-125.3896636,44.52894899,189.77097660857928
2021-03-10 00:19:24.689904128,0.0,3276896,-125.3896636,44.52894899,189.83378786756845
2021-03-10 00:19:29.201983488,0.0,3276900,-125.3896636,44.52894899,189.83105251910203
2021-03-10 00:19:48.379765760,0.0107,3276917,-125.3896636,44.52894899,189.8238036384338
2021-03-10 00:19:50.634639872,0.0963,3276919,-125.3896636,44.52894899,189.8126133933349
2021-03-10 00:20:22.217707520,0.0,3276947,-125.3896636,44.52894899,189.84036626455827
2021-03-10 00:20:32.370760704,0.0,3276956,-125.3896636,44.52894899,189.81759295912718
2021-03-10 00:21:08.461726720,0.0,3276988,-125.3896636,44.52894899,189.83000621088422
2021-03-10 00:21:42.306574336,0.0,3277018,-125.3896636,44.52894899,189.91393957539262
2021-03-10 00:21:50.202591232,0.0,3277025,-125.3896636,44.52894899,189.81036437152954
2021-03-10 00:22:02.608782848,0.0,3277036,-125.3896636,44.52894899,189.8698229679521
2021-03-10 00:22:04.863655424,0.0,3277038,-125.3896636,44.52894899,189.83784554461292
2021-03-10 00:22:07.120034816,0.0107,3277040,-125.3896636,44.52894899,189.83384140537544
2021-03-10 00:22:13.888662016,0.0,3277046,-125.3896636,44.52894899,189.89497148338927
2021-03-10 00:22:18.400671232,0.0,3277050,-125.3896636,44.52894899,189.88966350830003
2021-03-10 00:23:39.616686080,0.0,3277122,-125.3896636,44.52894899,189.9033417490939
2021-03-10 00:24:10.072761344,0.0,3277149,-125.3896636,44.52894899,189.94184288768417
2021-03-10 00:24:49.555306496,0.0,3277184,-125.3896636,44.52894899,189.96369094178954
2021-03-10 00:25:36.932276224,0.0,3277226,-125.3896636,44.52894899,189.92526382997875
2021-03-10 00:25:51.594924544,0.0,3277239,-125.3896636,44.52894899,189.96020065192263
2021-03-10 00:26:14.154080256,0.0,3277259,-125.3896636,44.52894899,189.95375634095714
2021-03-10 00:26:32.202098176,0.0321,3277275,-125.3896636,44.52894899,189.96563673096583
2021-03-10 00:26:42.352803840,0.0214,3277284,-125.3896636,44.52894899,189.96900462431836
2021-03-10 00:26:45.737464320,0.0,3277287,-125.3896636,44.52894899,189.9768452391325
2021-03-10 00:26:50.250283008,0.0,3277291,-125.3896636,44.52894899,189.96428077396098
2021-03-10 00:27:28.600407552,0.0,3277325,-125.3896636,44.52894899,189.97830551296974
2021-03-10 00:27:46.650434048,0.0,3277341,-125.3896636,44.52894899,189.99019231019412
2021-03-10 00:28:15.979872256,0.0,3277367,-125.3896636,44.52894899,189.2607528485486
2021-03-10 00:28:18.236414976,0.0,3277369,-125.3896636,44.52894899,189.13216913500162
2021-03-10 00:28:30.646194176,0.0,3277380,-125.3896636,44.52894899,188.5266750427165
2021-03-10 00:28:38.543578112,0.0,3277387,-125.3896636,44.52894899,188.10985210865442
2021-03-10 00:28:49.824217088,0.0,3277397,-125.3896636,44.52894899,187.539303913156
2021-03-10 00:28:50.952477696,0.0,3277398,-125.3896636,44.52894899,187.48516458532623
2021-03-10 00:28:56.591382528,0.0214,3277403,-125.3896636,44.52894899,187.22501596032777
2021-03-10 00:28:57.719343616,0.0214,3277404,-125.3896636,44.52894899,187.16295615140413
2021-03-10 00:29:37.203204608,0.0,3277439,-125.3896636,44.52894899,185.1587756314644
2021-03-10 00:30:13.304090624,0.0214,3277471,-125.3896636,44.52894899,183.34369189434014
2021-03-10 00:30:34.740004352,0.0,3277490,-125.3896636,44.52894899,182.24017151317548
2021-03-10 00:30:35.867410432,0.0,3277491,-125.3896636,44.52894899,182.17279926112607
2021-03-10 00:31:08.582015488,0.0,3277520,-125.3896636,44.52894899,180.55705633462804
2021-03-10 00:33:25.704064512,0.0107,3277545,-125.3896636,44.52894899,173.6119489622544
2021-03-10 00:33:29.088742912,0.0,3277548,-125.3896636,44.52894899,173.42507640194893
2021-03-10 00:33:34.729876480,0.0107,3277553,-125.3896636,44.52894899,173.1900265453319
2021-03-10 00:33:35.858117632,0.0,3277554,-125.3896636,44.52894899,173.14323317403938
2021-03-10 00:33:41.499234816,0.0107,3277559,-125.3896636,44.52894899,172.84081270842563
2021-03-10 00:33:48.268570112,0.0,3277565,-125.3896636,44.52894899,172.4478706952733
2021-03-10 00:33:59.549143552,0.0107,3277575,-125.3896636,44.52894899,171.927117232658
2021-03-10 00:34:07.445915136,0.0,3277582,-125.3896636,44.52894899,171.50771833763716
2021-03-10 00:34:28.882328576,0.0107,3277601,-125.3896636,44.52894899,170.42526694816286
2021-03-10 00:34:39.036488192,0.0,3277610,-125.3896636,44.52894899,169.91744818833635
2021-03-10 00:34:51.447030784,0.0107,3277621,-125.3896636,44.52894899,169.32802373742246
2021-03-10 00:34:59.342716928,0.0,3277628,-125.3896636,44.52894899,168.90068060615118
2021-03-10 00:35:02.726528512,0.0,3277631,-125.3896636,44.52894899,168.7401705393517
2021-03-10 00:35:03.854732288,0.0107,3277632,-125.3896636,44.52894899,168.68655924166177
2021-03-10 00:35:09.495850496,0.0,3277637,-125.3896636,44.52894899,168.40205658376476
2021-03-10 00:35:30.932183040,0.0,3277656,-125.3896636,44.52894899,167.3316000197547
2021-03-10 00:35:34.316744192,0.0,3277659,-125.3896636,44.52894899,167.1744526530283
2021-03-10 00:35:58.007410176,0.0107,3277680,-125.3896636,44.52894899,165.93069613960907
2021-03-10 00:36:01.391178240,0.0,3277683,-125.3896636,44.52894899,165.7696870155074
2021-03-10 00:36:03.647356928,0.0107,3277685,-125.3896636,44.52894899,165.672427887216
2021-03-10 00:36:34.109576704,0.0,3277712,-125.3896636,44.52894899,164.19350868118687
2021-03-10 00:36:39.750743040,0.0107,3277717,-125.3896636,44.52894899,163.91635880476878
2021-03-10 00:36:46.520024064,0.0,3277723,-125.3896636,44.52894899,163.58584039415632
2021-03-10 00:37:05.696934400,0.0,3277740,-125.3896636,44.52894899,162.63262390081027
2021-03-10 00:37:15.850849792,0.0,3277749,-125.3896636,44.52894899,162.15901194477175
2021-03-10 00:37:18.107287040,0.0,3277751,-125.3896636,44.52894899,162.02049296580128
2021-03-10 00:37:31.645811200,0.0,3277763,-125.3896636,44.52894899,161.40351633771476
2021-03-10 00:37:38.415019008,0.0,3277769,-125.3896636,44.52894899,161.0590590302224
2021-03-10 00:37:42.927965184,0.0,3277773,-125.3896636,44.52894899,160.8475313601441
2021-03-10 00:37:55.337465856,0.0,3277784,-125.3896636,44.52894899,160.2523496591494
2021-03-10 00:38:29.181864448,0.0,3277814,-125.3896636,44.52894899,158.63020490989337
2021-03-10 00:38:33.694742016,0.0,3277818,-125.3896636,44.52894899,158.3571957106145
2021-03-10 00:38:49.489842176,0.0,3277832,-125.3896636,44.52894899,157.63372143354874
2021-03-10 00:39:07.539094016,0.0,3277848,-125.3896636,44.52894899,156.7682991201286
2021-03-10 00:39:43.642167808,0.0107,3277880,-125.3896636,44.52894899,155.0003037491615
2021-03-10 00:39:44.770413056,0.0,3277881,-125.3896636,44.52894899,154.9477284253768
2021-03-10 00:40:00.563109376,0.0107,3277895,-125.3896636,44.52894899,154.1649921776774
2021-03-10 00:40:08.460092416,0.0,3277902,-125.3896636,44.52894899,153.77226553485409
2021-03-10 00:40:09.588285440,0.0,3277903,-125.3896636,44.52894899,153.69841270734452
2021-03-10 00:40:16.357449728,0.0963,3277909,-125.3896636,44.52894899,153.36242344617006
2021-03-10 00:40:37.793305088,0.0,3277928,-125.3896636,44.52894899,152.33795721636181
2021-03-10 00:40:40.049866240,0.0,3277930,-125.3896636,44.52894899,152.2522947333837
2021-03-10 00:40:41.178094592,0.0,3277931,-125.3896636,44.52894899,152.20596161190952
2021-03-10 00:40:42.306295296,0.0,3277932,-125.3896636,44.52894899,152.1514946203073
2021-03-10 00:40:51.331940864,0.0,3277940,-125.3896636,44.52894899,151.63724172666255
2021-03-10 00:41:19.534725120,0.0,3277965,-125.3896636,44.52894899,150.3311464085708
2021-03-10 00:41:28.560422400,0.0,3277973,-125.3896636,44.52894899,149.8485543091938
2021-03-10 00:41:42.099036672,0.0428,3277985,-125.3896636,44.52894899,149.2468825144238
2021-03-10 00:42:30.609636864,0.0107,3278028,-125.3896636,44.52894899,146.82131116865747
2021-03-10 00:42:35.122532864,0.0,3278032,-125.3896636,44.52894899,146.62597157891315
2021-03-10 00:42:40.763612672,0.0,3278037,-125.3896636,44.52894899,146.36072421466346
2021-03-10 00:43:36.043515392,0.0,3278086,-125.3896636,44.52894899,143.65339725391016
2021-03-10 00:44:06.502374400,0.0,3278113,-125.3896636,44.52894899,142.14361019354192
2021-03-10 00:44:27.938420224,0.0321,3278132,-125.3896636,44.52894899,141.09181770605912
2021-03-10 00:44:34.707662336,0.0107,3278138,-125.3896636,44.52894899,140.76659489354452
2021-03-10 00:44:44.861579264,0.0107,3278147,-125.3896636,44.52894899,140.2585009216738
2021-03-10 00:44:49.374386688,0.0,3278151,-125.3896636,44.52894899,140.04529977856623
2021-03-10 00:45:13.065543680,0.0,3278172,-125.3896636,44.52894899,138.9061133368975
2021-03-10 00:45:46.912241152,0.0,3278202,-125.3896636,44.52894899,137.24773349362823
2021-03-10 00:46:01.576855040,0.0,3278215,-125.3896636,44.52894899,136.54656724208567
2021-03-10 00:46:08.346049536,0.0214,3278221,-125.3896636,44.52894899,136.1630083479754
2021-03-10 00:46:12.858845696,0.0,3278225,-125.3896636,44.52894899,135.97586283493368
