time,backscatter,seawater_scattering_coefficient,obs,lon,lat,depth,particulate
2021-03-10 06:12:00.686930944,0.0011596546353617781,0.0006333132484427697,3294502,-125.3896636,44.52894899,72.4373663917261,0.0005263413869190085
2021-03-10 06:12:01.814817280,0.0011745747108433935,0.000633339971645195,3294503,-125.3896636,44.52894899,72.52582577421742,0.0005412347391981986
2021-03-10 06:12:02.942641152,0.0012193366269043252,0.0006333641026373308,3294504,-125.3896636,44.52894899,72.63084976830268,0.0005859725242669944
2021-03-10 06:12:04.070767616,0.001338703308083583,0.0006333763247451114,3294505,-125.3896636,44.52894899,72.74796187530701,0.0007053269833384717
2021-03-10 06:12:05.198880768,0.0011596523556226554,0.0006333888593607673,3294506,-125.3896636,44.52894899,72.8765261649824,0.0005262634962618881
2021-03-10 06:12:06.327045632,0.0010552060221922022,0.0006333943303116046,3294507,-125.3896636,44.52894899,73.01143963793156,0.00042181169188059765
2021-03-10 06:12:07.455188992,0.0011447317418227798,0.0006333799902792063,3294508,-125.3896636,44.52894899,73.14219676215832,0.0005113517515435735
2021-03-10 06:12:08.583358464,0.00114473252074489,0.0006333541561759854,3294509,-125.3896636,44.52894899,73.26215125395888,0.0005113783645689046
2021-03-10 06:12:09.711492608,0.0010999719023534413,0.000633286986057183,3294510,-125.3896636,44.52894899,73.36495715120665,0.00046668491629625825
2021-03-10 06:12:10.839614464,0.0012193399878594484,0.0006332526315923961,3294511,-125.3896636,44.52894899,73.44884530101929,0.0005860873562670523
2021-03-10 06:12:11.967782400,0.001249182824680492,0.0006332169975525553,3294512,-125.3896636,44.52894899,73.51853003944939,0.0006159658271279367
2021-03-10 06:12:13.096028672,0.0011745780979838245,0.0006332276321258148,3294513,-125.3896636,44.52894899,73.58480846566843,0.0005413504658580097
2021-03-10 06:12:14.224116736,0.0012491811893663336,0.0006332712351639953,3294514,-125.3896636,44.52894899,73.65349899886002,0.0006159099542023383
2021-03-10 06:12:15.352280576,0.00114473407133209,0.0006333027286593635,3294515,-125.3896636,44.52894899,73.73216523876742,0.0005114313426727266
2021-03-10 06:12:16.480439808,0.0010999710425807843,0.0006333155016882987,3294516,-125.3896636,44.52894899,73.82128010304206,0.0004666555408924856
2021-03-10 06:12:17.608565760,0.0011447333734900477,0.0006333258736222804,3294517,-125.3896636,44.52894899,73.92264651256086,0.0005114074998677673
2021-03-10 06:12:18.736733184,0.0011745751145236139,0.0006333265829939508,3294518,-125.3896636,44.52894899,74.03765376414079,0.0005412485315296631
2021-03-10 06:12:19.864874496,0.001189496291994223,0.0006333167571023997,3294519,-125.3896636,44.52894899,74.16328420911974,0.0005561795348918233
2021-03-10 06:12:20.993009664,0.001085050019241852,0.000633320215574953,3294520,-125.3896636,44.52894899,74.29740912491455,0.000451729803666899
2021-03-10 06:12:22.121129984,0.001055208164196036,0.0006333232875880723,3294521,-125.3896636,44.52894899,74.43515964992771,0.0004218848766079638
2021-03-10 06:12:23.249262080,0.0012044168349055447,0.0006333279773076408,3294522,-125.3896636,44.52894899,74.57190210439626,0.0005710888575979039
2021-03-10 06:12:24.377391104,0.0012193370810100264,0.0006333490415504845,3294523,-125.3896636,44.52894899,74.69895426484979,0.0005859880394595419
2021-03-10 06:12:25.505499648,0.0011298112029593836,0.0006333686358185284,3294524,-125.3896636,44.52894899,74.80756965508675,0.0004964425671408552
2021-03-10 06:12:26.633692672,0.0013834655441653863,0.0006333898417719837,3294525,-125.3896636,44.52894899,74.89330813758373,0.0007500757023934027
2021-03-10 06:12:27.761801728,0.0012193351987326042,0.0006334114700636375,3294526,-125.3896636,44.52894899,74.95920653079727,0.0005859237286689667
2021-03-10 06:12:28.889946112,0.0011596511789960864,0.0006334278839202523,3294527,-125.3896636,44.52894899,75.0170736405211,0.0005262232950758341
2021-03-10 06:12:30.018065920,0.001353622307600246,0.0006334387339157181,3294528,-125.3896636,44.52894899,75.07943335971771,0.0007201835736845278
2021-03-10 06:12:31.146199040,0.0011447299008908462,0.0006334410475081049,3294529,-125.3896636,44.52894899,75.15734618778382,0.0005112888533827414
2021-03-10 06:12:32.274343936,0.00115965084657133,0.0006334389092786927,3294530,-125.3896636,44.52894899,75.25892371674239,0.0005262119372926374
2021-03-10 06:12:33.402496000,0.0011745716802760231,0.0006334404848919169,3294531,-125.3896636,44.52894899,75.37966177797612,0.0005411311953841063
2021-03-10 06:12:34.530580992,0.0011596505914165784,0.0006334473718632186,3294532,-125.3896636,44.52894899,75.51004268621811,0.0005262032195533598
2021-03-10 06:12:35.658720768,0.0012491756755612514,0.0006334541086602338,3294533,-125.3896636,44.52894899,75.63597796316816,0.0006157215669010176
2021-03-10 06:12:36.786855936,0.0011298082402315186,0.000633466899067772,3294534,-125.3896636,44.52894899,75.75192629091954,0.0004963413411637466
2021-03-10 06:12:37.914970624,0.00109996649531872,0.0006334663183565772,3294535,-125.3896636,44.52894899,75.85113235529151,0.00046650017696214287
2021-03-10 06:12:39.043092480,0.0011894914354806303,0.0006334778305547657,3294536,-125.3896636,44.52894899,75.94236619952707,0.0005560136049258646
2021-03-10 06:12:40.171241472,0.001129807232829869,0.0006335003110326622,3294537,-125.3896636,44.52894899,76.0315231032623,0.0004963069217972067
2021-03-10 06:12:41.299390464,0.0010999640104864493,0.0006335487314919949,3294538,-125.3896636,44.52894899,76.125038495013,0.00046641527899445446
2021-03-10 06:12:42.427478528,0.0012790127398944772,0.0006336099277119624,3294539,-125.3896636,44.52894899,76.23328856920016,0.0006454028121825148
